subLink,word,type,level
361,fire_1,play with fire,idiom,c2
362,powder-keg,powder keg,noun,c2
363,precarious,precarious,adjective,c2
364,precariously,precariously,adverb,c2
365,precaution,precaution,noun,c1
366,precautionary,precautionary,adjective,c2
367,presence-of-mind,presence of mind,noun,c2
368,pressure-cooker,pressure cooker,noun,c2
369,thing,push things/it,idiom,c2
370,push_1,push your luck,idiom,c2
371,quagmire,quagmire,noun,c2
372,quicksand,quicksand,noun,c2
373,reckless,reckless,adjective,c1
374,recklessly,recklessly,adverb,c1
375,red-alert,red alert,noun,c2
376,red-flag,red flag,noun,c2
377,refuge,refuge,noun,c1
378,rescue_1,rescue,verb,b2
379,rescue_2,rescue,noun,b2
380,rescuer,rescuer,noun,b2
381,rescue-worker,rescue worker,noun,b2
382,risk_1,risk,noun,b1
383,risk_2,risk,verb,b1
384,risk-averse,risk-averse,adjective,c2
385,risk-taking,risk-taking,noun,c2
386,safeguard_2,safeguard,noun,c1
387,safety-measure,safety measure,noun,b1
388,sail_1,sail close to the wind,idiom,c2
389,abandon_1,abandon,verb,b2
390,abandonment,abandonment,noun,c2
391,abdicate,abdicate,verb,c2
392,abdication,abdication,noun,c2
393,ask_2,"a big, huge, tough, etc. ask",idiom,c2
394,abort,abort,verb,c2
395,abortive,abortive,adjective,c2
396,close2_1,a close thing,idiom,c2
397,dead_1,a dead duck,idiom,c2
398,agonizing,agonizing,adjective,c1
399,long_1,a long shot,idiom,c2
400,also-ran,also-ran,noun,c2
401,ambitious,ambitious,adjective,b2
402,miss_2,a miss is as good as a mile,idiom,c2
403,mug_1,a mug’s game,idiom,c2
404,nail_1,a nail in somebody’s/something’s coffin,idiom,c2
405,assault_1,assault,noun,c1
406,attempt_1,attempt,noun,b2
407,attempted,attempted,adjective,b2
408,expense,at the expense of somebody/something,idiom,c1
409,backfire,backfire,verb,c2
410,back_4,back the wrong horse,idiom,c2
411,badly,badly,adverb,b1
412,balk,balk,verb,c2
413,banana-skin,banana skin,noun,c2
414,bang_3,bang goes something,idiom,c2
415,barely,barely,adverb,b2
416,barren,barren,adjective,c2
417,batten_2,batten down the hatches,idiom,c2
418,battle_1,battle,noun,b1
419,battle_2,battle,verb,b2
420,baulk,baulk,verb,c2
421,downhill_2,be (all) downhill,idiom,c2
422,bear_1,"bear hard, heavily, severely, etc. on somebody",idiom,c2
423,head_1,"be banging, etc. your head against a brick wall",idiom,c2
424,bark_2,be barking up the wrong tree,idiom,c2
425,bedevil,bedevil,verb,c2
426,done_1,be done for,idiom,c2
427,way_1,be downhill all the way,idiom,c2
428,picnic_1,be no picnic,idiom,c2
429,skid_2,be on the skids,idiom,c2
430,game_1,be out of the game,idiom,c2
431,brick_1,be up against a brick wall,idiom,c2
432,big_1,big,adjective,b2
433,bite_1,bite off more than you can chew,idiom,c2
434,bite_1,bite the dust,idiom,c2
435,bomb_1,bomb,noun,c2
436,bomb_2,bomb,verb,c2
437,bother_2,bother,noun,c2
438,bothersome,bothersome,adjective,c2
439,break-down,break down,phrasal verb,c1
440,breakdown,breakdown,noun,c1
441,bungle_1,bungle,verb,c2
442,bungling,bungling,adjective,c2
443,burden_1,burden,noun,c1
444,burden_2,burden,verb,c1
445,burdensome,burdensome,adjective,c2
446,canute,Canute,noun,c2
447,car-crash,car crash,noun,c2
448,catch_2,catch,noun,c2
449,catch-up-with,catch up with,phrasal verb,c2
450,chance_2,chance your arm,idiom,c2
451,chase_1,chase your (own) tail,idiom,c2
452,checkered,checkered,adjective,c2
453,chequered,chequered,adjective,c2
454,choke_1,choke,verb,c2
455,close2_1,"close, but no cigar",idiom,c2
456,cockeyed,cockeyed,adjective,c2
457,collapse_1,collapse,verb,b2
458,collapse_2,collapse,noun,b2
459,collapsed,collapsed,adjective,c2
460,cropper,come a cropper,idiom,c2
461,gutser,come a gutser,idiom,c2
462,world,come/go down/up in the world,idiom,c2
463,come-off,come off,phrasal verb,c2
464,grief,come to grief,idiom,c2
465,come_1,come to nothing,idiom,c2
466,unglued,come unglued,idiom,c2
467,unstuck,come unstuck,idiom,c2
468,conquest,conquest,noun,c2
469,cook_1,cook somebody’s goose,idiom,c2
470,cost_2,cost,verb,b1
471,crackbrained,crackbrained,adjective,c2
472,crestfallen,crestfallen,adjective,c2
473,crisis_1,crisis,noun,b2
474,crumble_1,crumble,verb,c2
475,loss,cut your losses,idiom,c2
476,damper,damper,noun,c2
477,dead_1,dead in the water,idiom,c2
478,deadlock,deadlock,noun,c2
479,deadlocked,deadlocked,adjective,c2
480,dead_1,dead on arrival,idiom,c2
481,dead-weight,dead weight,noun,c2
482,debacle,debacle,noun,c2
483,defeat_1,defeat,verb,b2
484,defeat_2,defeat,noun,b2
485,defeatism,defeatism,noun,c2
486,defeatist_1,defeatist,noun,c2
487,defeatist_2,defeatist,adjective,c2
488,deficiency,deficiency,noun,c1
489,demise,demise,noun,c2
490,desperate,desperate,adjective,b2
491,die_1,die a/the death,idiom,c2
492,difficult,difficult,adjective,a1
493,difficulty,difficulty,noun,b1
494,disadvantage_1,disadvantage,verb,c1
495,disadvantage_2,disadvantage,noun,b1
496,disappointing,disappointing,adjective,b1
497,disappointingly,disappointingly,adverb,b1
498,disaster,disaster,noun,a2
499,disaster-area,disaster area,noun,c1
500,disastrous,disastrous,adjective,c1
501,disastrously,disastrously,adverb,c1
502,dismal,dismal,adjective,c2
503,dismally,dismally,adverb,c2
504,dog_1,dog,noun,c2
505,dog_2,dog,verb,c2
506,day-job,don’t give up the day job,idiom,c2
507,doom_2,doom,verb,c1
508,dop_2,dop,verb,c2
509,blue_1,do something till you are blue in the face,idiom,c2
510,elude,elude,verb,c2
511,elusive,elusive,adjective,c1
512,elusively,elusively,adverb,c1
513,enemy,enemy,noun,b2
514,faff-about,faff about,phrasal verb,c2
515,faff-around,faff around,phrasal verb,c2
516,fail_1,fail,verb,a2
517,fail_2,fail,noun,c1
518,failed,failed,adjective,b2
519,failure,failure,noun,b2
520,faint-hearted,faint-hearted,adjective,c2
521,fall_2,fall,noun,c1
522,two,fall between two stools,idiom,c2
523,wayside,fall by the wayside,idiom,c2
524,flat_3,fall flat,idiom,c2
525,flat_3,fall flat on your face,idiom,c2
526,stony,fall on stony ground,idiom,c2
527,fallow,fallow,adjective,c2
528,short_2,fall short of something,idiom,c2
529,false-move,false move,noun,c2
530,false-start,false start,noun,c2
531,fare_2,fare,verb,c2
532,fatal,fatal,adjective,c1
533,fatally,fatally,adverb,c1
534,fiasco,fiasco,noun,c2
535,battle_1,(fight) a losing battle,idiom,c2
536,fizzer,fizzer,noun,c2
537,fizzle-out,fizzle out,phrasal verb,c2
538,flatline,flatline,verb,c2
539,flop_1,flop,verb,c2
540,flop_2,flop,noun,c2
541,flounder_1,flounder,verb,c2
542,fluff_2,fluff,verb,c2
543,flunk,flunk,verb,c2
544,fool-s-errand,fool’s errand,noun,c2
545,fool-s-gold,fool’s gold,noun,c2
546,foredoomed,foredoomed,adjective,c2
547,forlorn,forlorn,adjective,c2
548,founder_2,founder,verb,c2
549,fray_1,fray at/around the edges/seams,idiom,c2
550,frustrate,frustrate,verb,c2
551,frustrated,frustrated,adjective,c2
552,frustration,frustration,noun,c2
553,futile,futile,adjective,c2
554,futilely,futilely,adverb,c2
555,futility,futility,noun,c2
556,get-behind,get behind,phrasal verb,c2
557,nowhere,get/go nowhere,idiom,c1
558,get,get somebody nowhere/not get somebody anywhere,idiom,c2
