subLink,word,type,level
638,biased,biased,adjective,b2
639,bicker,bicker,verb,c2
640,bickering,bickering,noun,c2
641,bite_1,bite your tongue,idiom,c2
642,blow_1,blow hot and cold (about something),idiom,c2
643,bollocks,bollocks,exclamation,c2
644,bolshie,bolshie,adjective,c2
645,budge,budge,verb,c2
646,bumptious,bumptious,adjective,c2
647,bunfight,bunfight,noun,c2
648,bust-up_2,bust-up,noun,c2
649,bust-up_1,bust up,phrasal verb,c2
650,but_1,but,conjunction,a1
651,but_4,but,noun,c1
652,extension,by extension,idiom,c2
653,calculate,calculate,verb,c1
654,calculation,calculation,noun,c1
655,call_1,call a spade a spade,idiom,c2
656,bad_1,can’t be bad,idiom,c2
657,carry_1,carry,verb,c2
658,carry-on_1,carry on,phrasal verb,c2
659,case_1,case,noun,b2
660,casuistry,casuistry,noun,c2
661,challenging,challenging,adjective,c1
662,chameleon,chameleon,noun,c2
663,change_1,change your/somebody’s mind,idiom,b1
664,change_1,change your tune,idiom,c2
665,check_3,check,exclamation,c2
666,chime-with,chime with,phrasal verb,c2
667,circular_1,circular,adjective,c2
668,circularity,circularity,noun,c2
669,claim_1,claim,verb,b1
670,claim_2,claim,noun,b1
671,clash_1,clash,noun,c1
672,clash_2,clash,verb,c2
673,climb-down,climb down,phrasal verb,c2
674,climbdown,climbdown,noun,c2
675,clincher,clincher,noun,c2
676,collide,collide,verb,c2
677,collision,collision,noun,c2
678,combative,combative,adjective,c2
679,come-around,come around,phrasal verb,c2
680,come-off-it,come off it,phrasal verb,c2
681,come-out,come out,phrasal verb,c2
682,top_1,come out on top,idiom,c2
683,come-over,come over,phrasal verb,c2
684,come-round,come round,phrasal verb,c2
685,comment_1,comment,noun,a2
686,comment_2,comment,verb,b1
687,commit,commit,verb,c1
688,compliant,compliant,adjective,c2
689,concede,concede,verb,c1
690,concur,concur,verb,c2
691,concurrence,concurrence,noun,c2
692,confer,confer,verb,c1
693,conflict_1,conflict,noun,b2
694,conform,conform,verb,c1
695,conformability,conformability,noun,c2
696,conformable,conformable,adjective,c2
697,conformance,conformance,noun,c2
698,conformity,conformity,noun,c1
699,confrontation,confrontation,noun,c1
700,confrontational,confrontational,adjective,c2
701,confute,confute,verb,c2
702,conjecture_1,conjecture,noun,c2
703,conjecture_2,conjecture,verb,c2
704,consciousness,consciousness,noun,c1
705,consensus,consensus,noun,c1
706,consistency,consistency,noun,c1
707,consistent,consistent,adjective,b2
708,consistently,consistently,adverb,b2
709,consonance,consonance,noun,c2
710,consonant_2,consonant,adjective,c2
711,contend,contend,verb,c1
712,contention,contention,noun,c1
713,contentious,contentious,adjective,c1
714,contradict,contradict,verb,c1
715,contradiction,contradiction,noun,c1
716,contradictory,contradictory,adjective,c1
717,contrarian,contrarian,noun,c2
718,contretemps,contretemps,noun,c2
719,controversial,controversial,adjective,b2
720,controversially,controversially,adverb,b2
721,controversy,controversy,noun,b2
722,convert_1,convert,verb,c1
723,convert_2,convert,noun,c1
724,conviction,conviction,noun,c1
725,cool_1,cool,adjective,a1
726,corollary,corollary,noun,c2
727,count_2,count,noun,c2
728,counterargument,counterargument,noun,b2
729,counter-attack_1,counter-attack,verb,c2
730,counter-attack_2,counter-attack,noun,c2
731,counterexample,counterexample,noun,c2
732,credible,credible,adjective,c1
733,critic,critic,noun,b2
734,criticism,criticism,noun,b2
735,criticize,criticize,verb,b2
736,critique_1,critique,noun,c1
737,critique_2,critique,verb,c1
738,cross_1,cross swords (with somebody),idiom,c2
739,current_2,current,noun,c2
740,deadlock,deadlock,noun,c2
741,deadlocked,deadlocked,adjective,c2
742,debatable,debatable,adjective,c1
743,debate_1,debate,noun,b2
744,debate_2,debate,verb,b2
745,decided,decided,adjective,c2
746,declamation,declamation,noun,c2
747,declamatory,declamatory,adjective,c2
748,deduce,deduce,verb,c1
749,deem,deem,verb,c1
750,deep_1,deep,adjective,c2
751,deep-dyed,deep-dyed,adjective,c2
752,defence,defence,noun,c1
753,defend,defend,verb,b2
754,defense,defense,noun,c1
755,defensible,defensible,adjective,c2
756,delude,delude,verb,c2
757,delusion,delusion,noun,c2
758,demur_1,demur,verb,c2
