word,sound
361,writing,writing__gb_1.mp3
362,yoga,yoga__gb_1.mp3
363,zoo,zoo__gb_1.mp3
364,Zumba™,zumba_1_gb_2.mp3
365,accessory,accessory__gb_1.mp3
366,account,account__gb_1.mp3
367,afford,afford__gb_1.mp3
368,aisle,aisle__gb_1.mp3
369,antique,antique__gb_1.mp3
370,appliance,appliance__gb_1.mp3
371,article,article__gb_1.mp3
372,assistant,assistant__gb_1.mp3
373,back order,back_order_1_gb_1.mp3
374,back-order,back_order_1_gb_1.mp3
375,bag,bag__gb_2.mp3
376,baker,baker__gb_2.mp3
377,bakery,bakery__gb_1.mp3
378,bakeshop,bakeshop__gb_2.mp3
379,banknote,banknote__gb_2.mp3
380,barber,barber__gb_1.mp3
381,barcode,bar_code_1_gb_1.mp3
382,bargain,bargain__gb_3.mp3
383,bargain,bargain__gb_3.mp3
384,bargain basement,bargain_basement_1_gb_1.mp3
385,barter,barter__gb_1.mp3
386,barter,barter__gb_1.mp3
387,basket,basket__gb_6.mp3
388,be a steal,steal__gb_1.mp3
389,bedding,bedding__gb_3.mp3
390,be sold out,fluency__gb_1.mp3
391,betting shop,betting_shop_1_gb_1.mp3
392,bid,bid__gb_3.mp3
393,bid,bid__gb_3.mp3
394,bill,bill__gb_3.mp3
395,billing,billing__gb_3.mp3
396,BOGOF,bogof_1_gb_2.mp3
397,book,book__gb_2.mp3
398,bookie,bookie__gb_2.mp3
399,bookmaking,bookmaking__gb_1.mp3
400,bookshop,bookshop__gb_2.mp3
401,bookstall,bookstall__gb_2.mp3
402,boutique,boutique__gb_2.mp3
403,browse,browse__gb_1.mp3
404,business,business__gb_2.mp3
405,butcher,butcher__gb_2.mp3
406,buy,buy__gb_2.mp3
407,buyer,buyer__gb_1.mp3
408,carrier bag,carrier_bag_1_gb_1.mp3
409,cash,cash__gb_2.mp3
410,cash and carry,cash_and_carry_1_gb_1.mp3
411,cashback,cashback__gb_2.mp3
412,cash desk,cash_desk_1_gb_1.mp3
413,cashier,cashier__gb_1.mp3
414,cash register,cash_register_1_gb_1.mp3
415,CCTV,cctv_1_gb_1_abbr.mp3
416,center,centre__gb_1.mp3
417,centre,centre__gb_1.mp3
418,chain,chain__gb_2.mp3
419,chain store,chain_store_1_gb_1.mp3
420,change,change__gb_2.mp3
421,charge,charge__gb_2.mp3
422,cheap,cheap__gb_3.mp3
423,check card,check_card_1_gb_1.mp3
424,checkout,checkout__gb_3.mp3
425,chemist,chemist__gb_3.mp3
